"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TOX4",0.326433333333336,10.8745166666667,4.63749339960966,0.000706288611797026,0.00263724022890269,-1.34372029937364
"MT1HL1",-0.337343333333334,8.14768166666667,-4.63582966938318,0.000708212976064656,0.00264390152451967,-1.34656768810135
"CEP162",0.594266666666668,6.74517333333333,4.63555813742983,0.000708527568023781,0.0026445517669758,-1.34703243266328
"CCDC80",0.397463333333333,7.94103833333333,4.63491632413178,0.000709271745256267,0.00264652276879608,-1.34813097300644
"ICA1L",0.598076666666667,7.12672166666667,4.63486035925983,0.000709336674996422,0.00264652276879608,-1.34822676593534
"CHRM2",0.388839999999998,6.2223,4.63435057011353,0.000709928413692407,0.00264774392911383,-1.34909936982966
"RGS4",-0.390699999999998,6.55450666666667,-4.63433616327305,0.000709945143996222,0.00264774392911383,-1.3491240304104
"VAMP5",0.378406666666665,10.26113,4.63195982415905,0.000712710406993727,0.00265753074744008,-1.35319201591104
"PTMA",-0.351753333333334,7.85052333333333,-4.63071498904215,0.000714163494622074,0.00266242186415522,-1.35532328339904
"DANT2",-0.339233333333334,8.03135333333333,-4.62821802876188,0.000717087574705637,0.00267279386146962,-1.35959886012138
"RCCD1",-0.345279999999997,8.24118,-4.62803140321477,0.000717306628453536,0.00267308132969804,-1.35991845144476
"STARD7",-0.376899999999997,11.5973833333333,-4.62715715395011,0.000718333724764429,0.00267637930211934,-1.36141563583369
"HNRNPLL",0.395346666666669,9.38216,4.62510048186955,0.00072075606963744,0.00268487338124042,-1.36493812452182
"UPF1",-0.318966666666666,10.6792166666667,-4.62439009310922,0.000721594757818147,0.00268746602110876,-1.36615493422851
"IST1",0.322466666666664,11.6148,4.62392838661401,0.000722140400473388,0.00268896644968679,-1.36694581381121
"MIS12",-0.428929999999998,9.74207833333333,-4.62309423388312,0.000723127298081763,0.00269210901997864,-1.36837473943945
"MIRLET7A2",-0.731423333333332,9.08878833333333,-4.62219974496913,0.000724187155354958,0.00269552191382515,-1.3699071150933
"HERC4",0.46988,8.95272,4.62144922708817,0.000725077684493085,0.00269830332142714,-1.37119292355279
"GSTM3",0.414516666666669,8.239165,4.61978784851882,0.000727053093916381,0.00270512010486391,-1.37403948400221
"PHRF1",-0.348283333333335,8.93819166666667,-4.61960421606514,0.000727271783106816,0.00270539932116014,-1.37435413507025
"CA9",-0.384089999999999,8.66424833333333,-4.61880412244877,0.000728225427309678,0.00270841186768374,-1.3757251288499
"UBQLN1",-0.312566666666667,12.3153166666667,-4.61862650271932,0.000728437313258447,0.00270866502624079,-1.37602949804495
"TNFAIP2",0.366583333333336,9.01601833333333,4.6183798390557,0.00072873167049141,0.00270893544322614,-1.37645218719111
"TLR1",0.432699999999999,5.04974333333333,4.61832452203042,0.000728797700479285,0.00270893544322614,-1.3765469808551
"HMG20B",0.344333333333337,11.3310666666667,4.61816647120379,0.000728986394840588,0.00270910216267317,-1.37681782565128
"STARD3",0.318899999999998,10.67495,4.61592239590221,0.000731671106996819,0.00271854283471653,-1.3806637215196
"HMBOX1",0.341719999999999,9.58367,4.61471068305169,0.000733125064327387,0.00272340778334162,-1.38274060488364
"SPRR2B",-0.501033333333336,4.67371333333333,-4.61259606352042,0.000735669713696255,0.00273232170927929,-1.38636549575106
"HSD17B4",0.359866666666671,10.8492,4.61179754701139,0.000736633029369904,0.00273536010945441,-1.3877344553331
"PDAP1",-0.359476666666664,9.68422833333333,-4.61082947743779,0.00073780266852822,0.00273878063552158,-1.3893941950397
"GEMIN8",0.393493333333332,8.29283333333333,4.61079446197351,0.000737845011396224,0.00273878063552158,-1.38945423058393
"KCNA6",-0.380693333333332,6.55408333333333,-4.60939761375952,0.00073953625114114,0.00274451738994921,-1.39184930713111
